path,r_1,r_1_angles,r_1_nfev
graphs/main/nodes_12/depth_3/90.gml,0.7259845575912278,[-1.49266603  2.95668949],30
graphs/main/nodes_12/depth_3/91.gml,0.8187170998617774,[ 0.18147015 -1.84915188],30
graphs/main/nodes_12/depth_3/92.gml,0.7628894085767282,[-2.23812503  2.37492446],63
graphs/main/nodes_12/depth_3/93.gml,0.8300905765476648,[ 0.20463533 -1.88347499],27
graphs/main/nodes_12/depth_3/94.gml,0.7549267206266983,[-1.80167759 -2.3770691 ],30
graphs/main/nodes_12/depth_3/95.gml,0.6455546601410502,[-1.42105425  1.14911002],30
graphs/main/nodes_12/depth_3/96.gml,0.778938066301266,[-1.75220101 -0.31347362],33
graphs/main/nodes_12/depth_3/97.gml,0.774980815590124,[-1.38075695  1.23813462],90
graphs/main/nodes_12/depth_3/98.gml,0.8103612538039776,[-1.39738529 -2.79007699],27
graphs/main/nodes_12/depth_3/99.gml,0.7251414708488215,[-1.81727756 -0.77935858],39
graphs/main/nodes_12/depth_3/100.gml,0.7719308672899491,[ 1.36993041 -1.9896342 ],42
graphs/main/nodes_12/depth_3/101.gml,0.789461257065609,[-1.75614018  0.37664091],33
graphs/main/nodes_12/depth_3/102.gml,0.7145668301521232,[-1.99050075 -1.98548002],30
graphs/main/nodes_12/depth_3/103.gml,0.7455340501980997,[-1.79098147 -0.38643813],48
graphs/main/nodes_12/depth_3/104.gml,0.7719614610832926,[-1.75568307 -0.41401137],33
graphs/main/nodes_12/depth_3/105.gml,0.8427465144158643,[-1.39101152 -1.24778504],90
graphs/main/nodes_12/depth_3/106.gml,0.7820242061725279,[-2.95161939  1.26840953],51
graphs/main/nodes_12/depth_3/107.gml,0.7823773105955176,[-1.78202655 -2.36034737],30
graphs/main/nodes_12/depth_3/108.gml,0.8420711937514113,[ 0.17450778 -1.85466275],24
graphs/main/nodes_12/depth_3/109.gml,0.8441021717853252,[ 0.17546781 -1.8571879 ],27
graphs/main/nodes_12/depth_3/110.gml,0.829214941882436,[-2.93613686  2.83136932],36
graphs/main/nodes_12/depth_3/111.gml,0.8059702132329097,[ 0.17966473 -1.86026935],30
graphs/main/nodes_12/depth_3/112.gml,0.7724110876291111,[-1.36172258  2.733996  ],81
graphs/main/nodes_12/depth_3/113.gml,0.7307240272388574,[-1.90108436 -2.48751596],39
graphs/main/nodes_12/depth_3/114.gml,0.8096422247429093,[-2.93694856  1.26607854],63
graphs/main/nodes_12/depth_3/115.gml,0.7134542874796707,[1.37498299 0.35026479],45
graphs/main/nodes_12/depth_3/116.gml,0.8047051881519494,[-2.96051881 -1.85866781],54
graphs/main/nodes_12/depth_3/117.gml,0.7413793103418328,[ 0.78538088 -2.94607728],21
graphs/main/nodes_12/depth_3/118.gml,0.7189355634631656,[-1.35130757  2.51268486],48
graphs/main/nodes_12/depth_3/119.gml,0.730811991759262,[-1.36614554 -2.45479986],33
graphs/main/nodes_12/depth_3/120.gml,0.7269263598744642,[-2.00947408 -2.73969923],36
graphs/main/nodes_12/depth_3/121.gml,0.8418747662878635,[ 0.17405067 -1.85432445],27
graphs/main/nodes_12/depth_3/122.gml,0.7432067914764747,[-1.8487106  -0.44960001],36
graphs/main/nodes_12/depth_3/123.gml,0.8548137394691838,[-2.96383921  1.28455904],45
graphs/main/nodes_12/depth_3/124.gml,0.739079585157366,[-1.4463149  -2.74214572],66
graphs/main/nodes_12/depth_3/125.gml,0.6858250310100706,[-1.44803011  2.78503046],30
graphs/main/nodes_12/depth_3/126.gml,0.6799999999998657,[-2.35619566 -1.37188809],24
graphs/main/nodes_12/depth_3/127.gml,0.8516639153146686,[-2.95673022  1.27489489],45
graphs/main/nodes_12/depth_3/128.gml,0.789718460381007,[-1.78206973 -1.95294804],36
graphs/main/nodes_12/depth_3/129.gml,0.8343964158201458,[2.97634608 0.27339032],87
graphs/main/nodes_12/depth_3/130.gml,0.8027078443421719,[1.35726163 0.8199558 ],30
graphs/main/nodes_12/depth_3/131.gml,0.8178917305734419,[2.97384431 1.84721012],51
graphs/main/nodes_12/depth_3/132.gml,0.7635365522523393,[1.33708876 0.78676837],33
graphs/main/nodes_12/depth_3/133.gml,0.8459932949111421,[-2.96107682 -1.85904241],60
graphs/main/nodes_12/depth_3/134.gml,0.7569907135031939,[ 1.79786849 -0.7838705 ],27
graphs/main/nodes_12/depth_3/135.gml,0.7413793103445828,[-2.35619302 -2.13626245],27
graphs/main/nodes_12/depth_3/136.gml,0.8365379509354111,[ 2.97531914 -1.29401037],60
graphs/main/nodes_12/depth_3/137.gml,0.8183124673804608,[-1.75951288  2.73534626],33
graphs/main/nodes_12/depth_3/138.gml,0.730769230767308,[-2.35621636  0.11530321],33
graphs/main/nodes_12/depth_3/139.gml,0.8437615751693102,[-2.95059986  1.2713841 ],42
graphs/main/nodes_12/depth_3/140.gml,0.7599999999682774,[2.35614716 0.12261934],24
graphs/main/nodes_12/depth_3/141.gml,0.8271126548231851,[-2.97133273  2.86562761],42
